Custom brain region	root	Isocortex	Olfactory areas	Hippocampal formation	Cortical subplate	Striatum	Pallidum	Thalamus	Thalamus, sensory-motor cortex related	Thalamus, polymodal association cortex related	Hypothalamus	Periventricular zone	Periventricular region	Hypothalamic medial zone	Hypothalamic lateral zone	Median eminence	Midbrain	Midbrain, sensory related	Midbrain, motor related	Midbrain, behavioral state related	Pons	Pons, sensory related	Pons, motor related	Pons, behavioral state related	Medulla	Medulla, sensory related	Medulla, motor related	Medulla, behavioral state related	Cerebellum	Cerebellar cortex	Cerebellar nuclei	fiber tracts	ventricular systems
		1090																														1043	
		862																														863	
		893																														397	
		1057																														991	
		36																														768	
		180																														884	
		148																														908	
		187																														940	
		638																														1099	
		662																														466	
		677																														530	
		897																														603	
		1106																														737	
		1010																														428	
		1058																														436	
		857																														618	
		849																														443	
		247																														449	
		1011																														301	
		527																														484682528	
		600																														824	
		678																														54	
		252																														349	
		156																														46	
		243																														753	
		1002																														690	
		735																														681	
		251																														673	
		816																														1083	
		847																														802	
		954																														595	
		1005																														611	
		1027																															
		696																															
		643																															
		759																															
		791																															
		249																															
		456																															
		1018																															
		959																															
		755																															
		990																															
		1023																															
		520																															
		598																															
		669																															
		402																															
		1074																															
		905																															
		1114																															
		233																															
		601																															
		649																															
		394																															
		281																															
		1066																															
		401																															
		433																															
		1046																															
		441																															
		409																															
		421																															
		973																															
		573																															
		613																															
		74																															
		121																															
		385																															
		593																															
		821																															
		721																															
		778																															
		33																															
		305																															
		425																															
		750																															
		269																															
		869																															
		902																															
		377																															
		393																															
		533																															
		805																															
		41																															
		501																															
		565																															
		257																															
		469																															
		312782574																															
		312782578																															
		312782582																															
		312782586																															
		312782590																															
		312782594																															
		312782598																															
		312782628																															
		312782632																															
		312782636																															
		312782640																															
		312782644																															
		312782648																															
		312782652																															
		31																															
		39																															
		935																															
		211																															
		1015																															
		919																															
		927																															
		48																															
		588																															
		296																															
		772																															
		810																															
		819																															
		972																															
		171																															
		304																															
		363																															
		84																															
		132																															
		44																															
		707																															
		556																															
		827																															
		1054																															
		1081																															
		714																															
		723																															
		448																															
		412																															
		630																															
		440																															
		488																															
		731																															
		484																															
		582																															
		620																															
		910																															
		527696977																															
		746																															
		969																															
		288																															
		1125																															
		608																															
		680																															
		95																															
		104																															
		996																															
		328																															
		1101																															
		783																															
		831																															
		111																															
		120																															
		163																															
		344																															
		314																															
		355																															
		119																															
		704																															
		694																															
		800																															
		675																															
		699																															
		254																															
		894																															
		671																															
		965																															
		774																															
		906																															
		279																															
		879																															
		442																															
		434																															
		610																															
		274																															
		330																															
		886																															
		542																															
		430																															
		687																															
		590																															
		622																															
		22																															
		312782546																															
		312782550																															
		312782554																															
		312782558																															
		312782562																															
		312782566																															
		312782570																															
		417																															
		312782604																															
		312782608																															
		312782612																															
		312782616																															
		312782620																															
		312782624																															
		541																															
		97																															
		1127																															
		234																															
		289																															
		729																															
		786																															
		922																															
		540																															
		888																															
		692																															
		335																															
		368																															
		895																															
		836																															
		427																															
		988																															
		977																															
		1045																															
